"","Timestamp","Machine","Temperature","Pressure","PartLength","PartResistance"
"1",2022-03-08 00:00:00,1,303,100,50.7895721696405,5.67179182424366
"2",2022-03-08 00:00:05,1,303,100,51.793532453041,5.61187479773265
"3",2022-03-08 00:00:10,1,303,100,50.4248053665649,6.18067570658532
"4",2022-03-08 00:00:15,1,303,100,50.7850440353171,6.5265228594329
"5",2022-03-08 00:00:20,1,303,100,51.4104245737348,5.89201635415636
"6",2022-03-08 00:00:25,1,303,100,51.3711734656461,6.58866525119079
"7",2022-03-08 00:00:30,1,303,100,51.0416364735982,6.08674296415063
"8",2022-03-08 00:00:35,1,303,100,51.4706552616294,6.34124142689971
"9",2022-03-08 00:00:40,1,303,100,49.8628180749776,6.89478946265083
"10",2022-03-08 00:00:45,1,303,100,50.3295769765322,6.91686397808286
"11",2022-03-08 00:00:50,1,303,100,50.8710904747675,5.9879655092337
"12",2022-03-08 00:00:55,1,303,100,51.0220853306353,6.05809256714116
"13",2022-03-08 00:01:00,1,303,100,51.5149471782544,6.12398503295947
"14",2022-03-08 00:01:05,1,303,100,50.5685760848906,6.06684551229464
"15",2022-03-08 00:01:10,1,303,100,51.2706573831277,6.29046105477613
"16",2022-03-08 00:01:15,1,303,100,51.362021102989,6.09991139621889
"17",2022-03-08 00:01:20,1,303,100,50.9241041876238,5.93224043597257
"18",2022-03-08 00:01:25,1,303,100,51.6474907024089,5.85012192576356
"19",2022-03-08 00:01:30,1,303,100,51.4114648648711,5.21382597571264
"20",2022-03-08 00:01:35,1,303,100,50.5792169596321,6.08964174934562
"21",2022-03-08 00:01:40,1,303,100,51.1052100763164,5.97388828101263
"22",2022-03-08 00:01:45,1,303,100,51.4463184492327,5.9610941110322
"23",2022-03-08 00:01:50,1,303,100,51.3916100964911,6.15459458519159
"24",2022-03-08 00:01:55,1,303,100,51.706936959769,6.66930153819183
"25",2022-03-08 00:02:00,1,303,100,51.1852575756106,5.54685193938947
"26",2022-03-08 00:02:05,1,303,100,51.2228452825868,6.7511329285408
"27",2022-03-08 00:02:10,1,303,100,50.5949802164079,6.19545318134465
"28",2022-03-08 00:02:15,1,303,100,51.4002378919776,6.37954261479562
"29",2022-03-08 00:02:20,1,303,100,51.6991432411119,5.90289107353996
"30",2022-03-08 00:02:25,1,303,100,51.1515218258866,6.07100268265788
"31",2022-03-08 00:02:30,1,303,100,51.4433563886852,5.92086752724471
"32",2022-03-08 00:02:35,1,303,100,50.382358078146,5.87580365084314
